Manufacturer,Payment_Sum,Payment_Count,Payment_Mean,Year
Astellas Scientific and Medical Affairs,40522.21,136,297.96,2013
AstraZeneca AB,46063.07,18,2559.06,2013
AstraZeneca Pharmaceuticals LP,18311738.38,206901,88.5,2013
AstraZeneca UK Limited,45489.47,41,1109.5,2013
"Asuragen, Inc.",3864.08,58,66.62,2013
Atlantic Coast Cryotherapy LP,103055.19,170,606.21,2013
"Atlas Spine, Inc.",591.27,3,197.09,2013
Atos Medical Inc,1102.77,39,28.28,2013
"AtriCure, Inc.",995476.01,1769,562.73,2013
Atrium Medical Corporation,171347.71,1773,96.64,2013
"Auxilium Pharmaceuticals, Inc.",2044914.8,23536,86.88,2013
"Avanir Pharmaceuticals, Inc.",1935967.49,10297,188.01,2013
Avinger Inc.,86644.53,781,110.94,2013
Avion Pharmaceuticals,22700.78,845,26.86,2013
B. Braun Interventional Systems Inc.,25743.63,122,211.01,2013
B. Braun Medical Inc.,134298.51,137,980.28,2013
B. Braun Surgical SA,4382.25,4,1095.56,2013
BD Rx Inc.,22.37,2,11.18,2013
"BG Medicine, Inc.",57574.05,58,992.66,2013
"BIOLASE, INC.",281151.79,585,480.6,2013
"BIOMET 3I, LLC",1193402.89,4355,274.03,2013
"BIOMET EUROPE, LTD",37119.06,81,458.26,2013
"BIOMET INTERNATIONAL, LTD",344708.23,66,5222.85,2013
"BIOMET SPINE, LLC",1866860.85,746,2502.49,2013
BIONESS INC,750.0,1,750.0,2013
BIOTRONIK INC.,1484439.36,9942,149.31,2013
BIOVENTUS LLC,240352.09,3216,74.74,2013
"BIomet 3i, LLC",1106717.73,3715,297.91,2013
BOSTON SCIENTIFIC CORPORATION,1731628.0,24,72151.17,2013
BSD Medical Corporation,11851.08,8,1481.38,2013
BTG International Canada Inc.,202843.9,173,1172.51,2013
"BTG International, Inc.",310141.43,437,709.71,2013
Bacterin International Inc,122172.96,155,788.21,2013
Banyan International Corporation,107.85,2,53.92,2013
"Bard Access Systems, Inc.",134533.15,685,196.4,2013
"Bard International, Inc.",95466.17,76,1256.13,2013
"Bard Peripheral Vascular, Inc.",1633927.02,4417,369.92,2013
Bausch and Lomb Inc.,770833.87,5282,145.94,2013
"Baxano Surgical, Inc.",282350.88,932,302.95,2013
Baxter Healthcare,2576206.53,10197,252.64,2013
Bayer HealthCare LLC,448538.86,3743,119.83,2013
Bayer HealthCare Pharmaceuticals Inc.,4468273.26,23277,191.96,2013
Baylis Medical Company Inc,2798.69,1,2798.69,2013
Beacon Endoscopic Corporation,12063.94,51,236.55,2013
"Beaver-Visitec International, Inc.",28076.72,45,623.93,2013
"Beckman Coulter, Inc.",17345.68,95,182.59,2013
"Becton, Dickinson and Company",2716465.78,1760,1543.45,2013
Belle Bonfils Memorial Blood Center,1090.03,4,272.51,2013
Belmont Instrument Corporation,11925.7,3,3975.23,2013
Benco Dental Supply Co.,1042391.12,8613,121.03,2013
Benvenue Medical Inc,89748.22,77,1165.56,2013
"Bio Products Laboratory, Inc.",481.35,10,48.14,2013
Bio-Detek Inc.,25.01,1,25.01,2013
"Bio-Rad Laboratories, Inc.",669845.66,1422,471.06,2013
"BioCardia, Inc.",9056.4,14,646.89,2013
"BioDelivery Sciences International, Inc.",94510.12,226,418.19,2013
"BioFire Diagnostics, LLC",269538.22,104,2591.71,2013
BioHorizons Implant Systems Inc.,2324568.94,531,4377.72,2013
"BioHorizons Implant Systems, Inc.",1299378.58,3461,375.43,2013
BioMarin Pharmaceutical Inc.,430618.81,606,710.59,2013
BioMedical Enterprises Inc,124363.53,128,971.59,2013
"BioMimetic Therapeutics, LLC",59004.64,45,1311.21,2013
"BioPro, Inc.",15230.17,16,951.89,2013
"BioStructures, LLC",5954.0,2,2977.0,2013
Biocompatibles UK Ltd,68059.87,10,6805.99,2013
"Biocompatibles, Inc.",100476.01,284,353.79,2013
Biocomposites Inc,430996.36,263,1638.77,2013
Biogen Idec Inc.,4284282.77,27502,155.78,2013
"Biogen, Inc.",117175.25,25,4687.01,2013
"Biogennix, LLC",45600.0,4,11400.0,2013
Biom'Up SA,25184.3,5,5036.86,2013
Biomet 3i Canada Inc,588.03,10,58.8,2013
Biomet 3i Deutschland GMBH,8783.01,4,2195.75,2013
Biomet 3i Mexico SA de CV,833.66,3,277.89,2013
Biomet 3i UK Ltd,44.36,1,44.36,2013
"Biomet Biologics, LLC",103295.12,127,813.35,2013
"Biomet Microfixation, LLC",1120809.15,1144,979.73,2013
"Biomet Orthopedics, LLC",10049844.6,4633,2169.19,2013
"Biomet Spine, LLC",233984.14,175,1337.05,2013
"Biomet Sports Medicine, LLC",1336505.39,841,1589.19,2013
"Biomet Trauma, LLC",1739590.8,1373,1267.0,2013
"Biosense Webster, Inc.",2528445.33,3904,647.66,2013
Biotest Pharmaceuticals Corporation,3269.69,15,217.98,2013
Bioventus LLC,189100.98,2189,86.39,2013
"Blockade Medical, LLC",2938.46,51,57.62,2013
"Blood Systems, Inc.",147538.82,21,7025.66,2013
"Blue Belt Technologies, Inc.",194167.81,175,1109.53,2013
Boehringer Ingelheim Canada Ltd.Ltee,4876.0,8,609.5,2013
Boehringer Ingelheim France,34.32,1,34.32,2013
Boehringer Ingelheim Hong Kong Ltd,9166.72,4,2291.68,2013
Boehringer Ingelheim Ilac Ticaret A.S.,26056.8,6,4342.8,2013
Boehringer Ingelheim International GmbH,341045.43,112,3045.05,2013
Boehringer Ingelheim Korea LTD.,4800.0,1,4800.0,2013
Boehringer Ingelheim Ltda,9500.0,1,9500.0,2013
Boehringer Ingelheim Malaysia Sdn. Bhd.,5301.47,2,2650.74,2013
Boehringer Ingelheim Mexico SA de CV,28941.0,14,2067.21,2013
Boehringer Ingelheim Pharma GmbH & Co.KG,983539.94,424,2319.67,2013
"Boehringer Ingelheim Pharmaceuticals, Inc.",9980503.01,136176,73.29,2013
Boehringer Ingelheim Pty Ltd,47220.27,15,3148.02,2013
Boehringer Ingelheim RCV GmbH & Co KG,83091.32,17,4887.72,2013
Boehringer Ingelheim S.A.,1250.0,1,1250.0,2013
Boehringer Ingelheim Shanghai Pharmaceuticals Co Ltd.,27687.29,8,3460.91,2013
Boehringer Ingelheim Taiwan Ltd.,9430.0,3,3143.33,2013
Boehringer Ingelheim Thai Ltd,13762.89,8,1720.36,2013
Boehringer Ingelheim b.v.,117850.26,142,829.93,2013
Bolton Medical Inc,31728.1,182,174.33,2013
Boston Scientific Corporation,12455071.02,46647,267.01,2013
"Braemar Manufacturing, LLC",185053.6,1521,121.67,2013
Brahms GmbH,2632.5,3,877.5,2013
"Brainlab, Inc.",222291.75,603,368.64,2013
"Braintree Laboratories, Inc.",1909134.06,2862,667.06,2013
Bristol-Myers Squibb Company,9241.72,9,1026.86,2013
"Buffalo Filter, LLC",935.0,47,19.89,2013
"C. R. Bard Foundation, Inc.",41833.0,3,13944.33,2013
"C. R. Bard, Inc. & Subsidiaries",513977.97,654,785.9,2013
"CARACO PHARMACEUTICAL LABORATORIES, LTD.",150350.0,5,30070.0,2013
"CARDIVA MEDICAL, INC.",10891.09,55,198.02,2013
CARTER BLOODCARE,152998.35,56,2732.11,2013
CAS Medical Systems Inc.,37096.27,47,789.28,2013
CDC Medical LLC,10098.69,26,388.41,2013
"CEREXA, INC.",30587.5,16,1911.72,2013
CLARITY MEDICAL SYSTEM,97639.1,45,2169.76,2013
"COMSORT, Inc",178350.0,1983,89.94,2013
CONMED Corporation,241416.14,425,568.04,2013
"CSA Medical, Inc",84923.71,53,1602.33,2013
CSL Behring,1304113.59,5522,236.17,2013
"CVRx, Inc.",110370.02,119,927.48,2013
"Cadence Pharmaceuticals, Inc.",882305.1,8137,108.43,2013
"Cadwell Industries, INC",8104.1,12,675.34,2013
"Caldera Medical, Inc",23283.98,38,612.74,2013
"Calvary Spine Products, LLC",18200.0,1,18200.0,2013
"Calvary Spine, LLC",425000.0,1,425000.0,2013
Cantel Medical Corp.,21500.0,3,7166.67,2013
Capitol Cryotherapy LP,88449.98,50,1769.0,2013
"Capnia, Inc.",77000.0,1,77000.0,2013
Capsule Tech Inc,15166.03,22,689.36,2013
Captiva Spine Inc,76046.71,24,3168.61,2013
"Cardiac Assist, Inc.",205222.42,134,1531.51,2013
"Cardica, Inc.",1269.35,13,97.64,2013
"Cardinal Health 108, LLC",244646.99,805,303.91,2013
"Cardinal Health 110, LLC",20287.63,4,5071.91,2013
"Cardinal Health 200, LLC",100829.01,156,646.34,2013
"Cardinal Health 414, LLC",233622.04,533,438.32,2013
"Cardinal Health P.R. 120, Inc.",148.09,5,29.62,2013
"Cardiosolutions, Inc.",29501.47,5,5900.29,2013
Cardiovascular Systems Inc.,937690.54,5442,172.31,2013
CareFusion Corporation,868315.2,1203,721.79,2013
"Carestream Dental, LLC",495174.36,1302,380.32,2013
"Carestream Health, Inc.",44405.11,38,1168.56,2013
"Carl Zeiss Meditec, Inc.",342343.89,585,585.2,2013
Carter BloodCare,60.0,1,60.0,2013
"Cayenne Medical, Inc.",77196.09,80,964.95,2013
Celgene Corporation,6495829.94,15503,419.0,2013
Celleration_Inc,11584.92,90,128.72,2013
"CeloNova BioSciences, Inc.",135824.36,12,11318.7,2013
"Centinel Spine, Inc.",166775.33,140,1191.25,2013
Central Blood Bank,11519.67,16,719.98,2013
Cepheid,1230337.0,97,12683.89,2013
"Ceptaris Therapeutics, Inc.",5586.86,15,372.46,2013
"Cerexa, Inc.",1375.0,1,1375.0,2013
"Cheetah Medical, Inc.",6927.5,17,407.5,2013
"Chek-Med Systems, Inc.",58912.59,5,11782.52,2013
"Chiesi USA, Inc.",48475.28,207,234.18,2013
"Chugai Pharmaceutical Co., Ltd.",181873.75,137,1327.55,2013
"Clariance, Inc.",6721.97,10,672.2,2013
"Clinical Technology, Inc",144.33,11,13.12,2013
Clinician's Choice Dental Products Inc.,41190.8,48,858.14,2013
"CoAlign Innovations, Inc.",26593.39,39,681.88,2013
Cochlear Americas,302191.65,787,383.98,2013
Cochlear HK Ltd,8040.7,2,4020.35,2013
Cochlear Ltd,21575.56,22,980.71,2013
Cochlear Medical Device Beijing Co Ltd,5442.0,1,5442.0,2013
Codman & Shurtleff Inc.,238.19,3,79.4,2013
"Collagen Matrix, Inc",57.73,3,19.24,2013
Coloplast Corp,1334520.59,4457,299.42,2013
Coltene Whaledent Inc.,61258.44,89,688.3,2013
"ConforMIS, Inc.",835335.86,743,1124.27,2013
"Consensus Orthopedics, Inc.",60685.87,156,389.01,2013
Convatec Inc.,94675.18,864,109.58,2013
Convergent Dental Inc.,29822.03,38,784.79,2013
Cook Biotech Incorporated,11333.08,43,263.56,2013
Cook Incorporated,3865521.5,8699,444.36,2013
Cook Medical LLC,44386.58,181,245.23,2013
Cook Medical Technologies LLC,5092.51,4,1273.13,2013
"CooperSurgical, Inc.",537776.31,270,1991.76,2013
CooperVision Inc.,117542.48,1791,65.63,2013
Coopervision Inc.,300115.47,3720,80.68,2013
CorMatrix Cardiovascular Inc.,179775.25,1019,176.42,2013
Corcept Therapeutics,132686.65,547,242.57,2013
Cordis Corporation,459868.22,4188,109.81,2013
"CoreLink, LLC",8608.42,12,717.37,2013
"Corentec America,Inc.",32738.66,53,617.71,2013
Cornerstone Therapeutics Inc.,234472.41,1049,223.52,2013
"Corventis, Inc.",81948.91,22,3724.95,2013
"Cosmedent, Inc.",40046.99,15,2669.8,2013
"Covidien Caribbean, Inc.",14181.52,19,746.4,2013
Covidien LP,5394315.34,5038,1070.73,2013
Covidien Sales LLC,4599213.38,17182,267.68,2013
"Covis Pharmaceuticals, Inc.",19.33,1,19.33,2013
"Cranial Technologies, Inc",15114.07,843,17.93,2013
Creative Testing Solutions,131345.02,2,65672.51,2013
Crosstex International Inc.,12223.14,11,1111.19,2013
"Cryo Specialty Medical, LLC",144173.63,970,148.63,2013
"Cryo Ventures 6, LLC",15952.0,4,3988.0,2013
"CryoLife, Inc.",170933.76,1153,148.25,2013
Cubist Pharmaceuticals Inc,1558897.65,8107,192.29,2013
"Cumberland Pharmaceuticals, Inc.",147934.96,2694,54.91,2013
Curexo Technology Corporation,11924.41,1,11924.41,2013
"Cyberonics, Inc.",841376.62,4074,206.52,2013
"D4D TECHNOLOGIES, LLC",16703.93,74,225.73,2013
"D4D Technologies, LLC",42183.41,189,223.19,2013
"DARA Biosciences, Inc.",11406.51,57,200.11,2013
DASH MEDICAL GLOVES INC,5874.43,248,23.69,2013
DASH Medical Gloves Inc,12595.61,585,21.53,2013
DENTPSLY IH AB,67246.28,15,4483.09,2013
DENTSPLY Canada Ltd,3551.21,3,1183.74,2013
DENTSPLY IH Inc.,900010.11,5952,151.21,2013
DENTSPLY LLC,630577.43,484,1302.85,2013
DENTSPLY Mexico SA de CV,529.46,2,264.73,2013
"DFINE, Inc",155454.64,1029,151.07,2013
"DISCOVERY LABORATORIES, INC.",35117.63,120,292.65,2013
DIagnostica Stago SAS,14980.0,2,7490.0,2013
"DJO Global, Inc.",403596.69,557,724.59,2013
"DJO, LLC",341183.35,740,461.06,2013
DMG AMERICA LLC,74713.94,79,945.75,2013
DS Healthcare Inc,11362.64,412,27.58,2013
"DUSA Pharmaceuticals, Inc.",278504.48,3077,90.51,2013
Daiichi Sankyo Company LTD,34950.05,19,1839.48,2013
Daiichi Sankyo Inc.,1986851.05,101686,19.54,2013
"Dainippon Sumitomo Pharma Co., Ltd.",38218.26,20,1910.91,2013
"Dako North America, Inc",138052.31,34,4060.36,2013
"Darby Dental Supply, LLC",63958.35,2,31979.18,2013
Datascope Corp.,40102.77,25,1604.11,2013
Davol Inc.,2271971.69,3635,625.03,2013
"DePuy Institute, LLC",133.81,4,33.45,2013
DePuy Mitek LLC,3276851.66,45,72818.93,2013
DePuy Orthopaedics Inc.,9803383.2,5599,1750.92,2013
DePuy Products Inc.,1189.32,18,66.07,2013
"DePuy Spine, LLC",206.0,2,103.0,2013
DePuy Synthes Products LLC,36130868.38,890,40596.48,2013
DePuy Synthes Sales Inc.,1752072.68,18543,94.49,2013
"Deltex Medical, SC, Inc.",31756.41,7,4536.63,2013
"Den-Mat Holdings, LLC",75970.94,56,1356.62,2013
Dendreon Corporation,743848.5,5045,147.44,2013
Dental Equipment LLC,92573.36,466,198.66,2013
Dental Imaging Technologies Corp.,194318.32,230,844.86,2013
Dental Material Gesellschaft mbH,385.82,6,64.3,2013
"DentalEZ, Inc.",128087.37,264,485.18,2013
"Dentalez Alabama, Inc.",74449.74,10,7444.97,2013
Dentaurum Incorporated,9696.9,6,1616.15,2013
Dentium USA,8115.81,16,507.24,2013
Dentsply International,3408643.39,2951,1155.08,2013
Dentsply US Prosthetics LLC,45901.94,95,483.18,2013
"Depomed, Inc.",894004.75,8997,99.37,2013
"Derma Sciences, Inc.",98196.97,937,104.8,2013
"DermaRite Industries, LLC",23.94,2,11.97,2013
Desert Mountain Medical,38542.65,316,121.97,2013
"Devicor Medical Products, Inc.",27379.8,336,81.49,2013
"Dexcom, Inc.",33227.19,555,59.87,2013
"Diagnostica Stago, Inc",10801.53,50,216.03,2013
Digirad Corporation,6290.96,86,73.15,2013
"Discovery Laboratories, Inc.",19026.23,52,365.89,2013
"Dornier MedTech America, Inc",11089.8,50,221.8,2013
"Doxa Dental, Inc.",37238.91,75,496.52,2013
"Dr.Reddy's Laboratories,Inc.",108601.09,116,936.22,2013
"Draeger Medical Systems, Inc",150.48,3,50.16,2013
"Draeger Medical, Inc",40841.51,49,833.5,2013
Duchesnay Incorporated,27840.83,8,3480.1,2013
Duchesnay USA Incorporated,455318.75,5356,85.01,2013
Dutch Ophthalmic Research Center International B.V.,8244.76,1,8244.76,2013
"Dutch Ophthalmic, USA",36303.57,65,558.52,2013
Dux Industries Inc,14366.58,10,1436.66,2013
Dyax Corp,169007.84,792,213.39,2013
Dynasplint Systems Inc.,480.72,31,15.51,2013
Dynatronics Corp.,75.08,2,37.54,2013
"E.R. Squibb & Sons, L.L.C.",11919132.01,112174,106.26,2013
"EBI MEDICAL SYSTEMS, LLC",19154.05,681,28.13,2013
"EBI Medical Systems, LLC",6408.53,216,29.67,2013
"ECR Pharmaceuticals Co., Inc.",33754.89,434,77.78,2013
EDAP TECHNOMED INC,2293.17,15,152.88,2013
EISAI INC.,6614.53,14,472.47,2013
EKOS Corporation,307959.19,895,344.09,2013
ELI LILLY AND COMPANY,3809832.32,1371,2778.87,2013
ELI LILLY EXPORT S.A. PUERTO RICO BRANCH,121585.63,1210,100.48,2013
ELLMAN INTERNATIONAL,140162.39,85,1648.97,2013
EMD Millipore Corporation,646037.19,857,753.84,2013
"EMD Serono, Inc.",1066003.64,11933,89.33,2013
"EMPI, INC.",104241.8,2362,44.13,2013
"ENCORE MEDICAL, LP",2117312.68,1352,1566.06,2013
ENDOCO Inc dba Ultimate Dental,23049.76,76,303.29,2013
ENVOY MEDICAL CORPORATION,11186.35,25,447.45,2013
ERBE USA Inc,13932.28,36,387.01,2013
ESSENTIAL DENTAL SYSTEMS INCORPORATED,7300.55,169,43.2,2013
ETEX Corporation,79186.7,56,1414.05,2013
"EXACTA Dental Products, Inc.",6444.5,143,45.07,2013
"Eagle Pharmaceuticals, Inc.",17.5,1,17.5,2013
"Eckert & Ziegler, BEBIG",238.06,2,119.03,2013
Ecolab,3750.0,1,3750.0,2013
Edge Endo LLC,803.25,24,33.47,2013
Edwards Lifesciences Corporation,4029102.1,9839,409.5,2013
"Eisai Co., Ltd.",62261.07,32,1945.66,2013
Eisai Inc.,1840668.56,20769,88.63,2013
"Electromed, Inc.",11682.9,384,30.42,2013
Elekta Instrument AB,6700.0,2,3350.0,2013
Elekta LTD,86.59,5,17.32,2013
"Elekta Medical, S.A.",2574.55,1,2574.55,2013
Elekta Oy,398.77,7,56.97,2013
"Elekta, Inc.",245971.16,570,431.53,2013
"Ellex, Inc",24457.24,56,436.74,2013
"Ellipse Technologies, Inc.",105895.33,49,2161.13,2013
"Emerge Medical, INC",1875.0,2,937.5,2013
Emergent BioSolutions Inc.,130579.55,935,139.66,2013
Encision Inc,331.51,17,19.5,2013
Endo Pharmaceuticals Inc.,269255.03,7172,37.54,2013
"EndoChoice, Inc.",63223.53,180,351.24,2013
"EndoEvolution, LLC",6876.0,2,3438.0,2013
"Endocare, Inc.",93522.1,326,286.88,2013
"Endogastric Solutions, Inc",19208.02,143,134.32,2013
"Endologix, Inc.",739667.85,2802,263.98,2013
"Entellus Medical, Inc.",443616.22,2412,183.92,2013
"Epimed International, Inc",129043.87,94,1372.81,2013
"Esaote North America, Inc.",5904.77,13,454.21,2013
Ethicon Endo-Surgery Inc.,1005357.31,2138,470.23,2013
Ethicon Inc.,3130822.22,10430,300.17,2013
"Ethicon US, LLC",4943.53,38,130.09,2013
Evalve Inc.,4923706.21,21,234462.2,2013
"Everett Laboratories, Inc",33203.07,366,90.72,2013
Evergreen Orthopedic Research Lab LLC,56321.37,23,2448.76,2013
"Exactech, Inc.",3360734.55,793,4238.0,2013
Exalenz Bioscience Ltd.,3740.65,31,120.67,2013
Exelixis Inc.,1616754.3,520,3109.14,2013
Extremity Medical,201227.7,100,2012.28,2013
F. Hoffmann-La Roche AG,830527.24,517,1606.44,2013
"FCI Ophthalmics, Inc.",212.0,2,106.0,2013
"FERA PHARMACEUTICALS, LLC",784.28,3,261.43,2013
"FFF Enterprises, Inc.",11574.03,8,1446.75,2013
"FH Orthopedics, Inc.",22450.0,6,3741.67,2013
"FOREST LABORATORIES, INC.",737707.62,93,7932.34,2013
"FOREST PHARMACEUTICALS, INC.",16029768.48,199449,80.37,2013
"FOREST RESEARCH INSTITUTE, INC.",154674.88,142,1089.26,2013
"FSC Laboratories, Inc.",1552.91,159,9.77,2013
"FUJIFILM Medical Systems USA, Inc.",96350.26,191,504.45,2013
"FUJIFILM SonoSite, Inc.",331291.83,724,457.59,2013
"FUKUDA DENSHI Co., Ltd.",10940.62,8,1367.58,2013
"Farallon Surgical, LLC",40000.0,2,20000.0,2013
Faxitron Bioptics LLC,25982.03,12,2165.17,2013
Ferring International Center SA,8619.79,12,718.32,2013
