Physician_Spec,Payment_Sum,Payment_Count,Payment_Mean,Year
Allopathic & Osteopathic Physicians|Nuclear Medicine|Nuclear Imaging & Therapy,142643.2,193,739.08,2013
Allopathic & Osteopathic Physicians|Obstetrics & Gynecology,9290858.39,106069,87.59,2013
Allopathic & Osteopathic Physicians|Obstetrics & Gynecology|Critical Care Medicine,7410.76,33,224.57,2013
Allopathic & Osteopathic Physicians|Obstetrics & Gynecology|Female Pelvic Medicine and Reconstructive Surgery,266388.99,900,295.99,2013
Allopathic & Osteopathic Physicians|Obstetrics & Gynecology|Gynecologic Oncology,1019688.97,3320,307.14,2013
Allopathic & Osteopathic Physicians|Obstetrics & Gynecology|Gynecology,2079219.9,12438,167.17,2013
Allopathic & Osteopathic Physicians|Obstetrics & Gynecology|Hospice and Palliative Medicine,5389.4,142,37.95,2013
Allopathic & Osteopathic Physicians|Obstetrics & Gynecology|Maternal & Fetal Medicine,154587.71,702,220.21,2013
Allopathic & Osteopathic Physicians|Obstetrics & Gynecology|Obesity Medicine,265.13,8,33.14,2013
Allopathic & Osteopathic Physicians|Obstetrics & Gynecology|Obstetrics,159583.36,2362,67.56,2013
Allopathic & Osteopathic Physicians|Obstetrics & Gynecology|Reproductive Endocrinology,1553842.22,6150,252.66,2013
Allopathic & Osteopathic Physicians|Ophthalmology,13381717.43,67707,197.64,2013
Allopathic & Osteopathic Physicians|Oral & Maxillofacial Surgery,438787.86,1156,379.57,2013
Allopathic & Osteopathic Physicians|Orthopaedic Surgery,115455409.28,91666,1259.52,2013
Allopathic & Osteopathic Physicians|Orthopaedic Surgery|Adult Reconstructive Orthopaedic Surgery,10158136.88,5088,1996.49,2013
Allopathic & Osteopathic Physicians|Orthopaedic Surgery|Foot and Ankle Surgery,2260164.48,2590,872.65,2013
Allopathic & Osteopathic Physicians|Orthopaedic Surgery|Hand Surgery,3052978.62,3922,778.42,2013
Allopathic & Osteopathic Physicians|Orthopaedic Surgery|Orthopaedic Surgery of the Spine,17896775.0,12402,1443.06,2013
Allopathic & Osteopathic Physicians|Orthopaedic Surgery|Orthopaedic Trauma,2519629.17,2394,1052.48,2013
Allopathic & Osteopathic Physicians|Orthopaedic Surgery|Pediatric Orthopaedic Surgery,298795.03,1266,236.02,2013
Allopathic & Osteopathic Physicians|Orthopaedic Surgery|Sports Medicine,8001226.89,7718,1036.7,2013
Allopathic & Osteopathic Physicians|Otolaryngology,2701316.39,17780,151.93,2013
Allopathic & Osteopathic Physicians|Otolaryngology|Facial Plastic Surgery,175873.51,1006,174.82,2013
Allopathic & Osteopathic Physicians|Otolaryngology|Otolaryngic Allergy,42690.86,340,125.56,2013
Allopathic & Osteopathic Physicians|Otolaryngology|Otolaryngology/Facial Plastic Surgery,143223.91,1339,106.96,2013
Allopathic & Osteopathic Physicians|Otolaryngology|Otology & Neurotology,265694.06,531,500.37,2013
Allopathic & Osteopathic Physicians|Otolaryngology|Pediatric Otolaryngology,119958.59,471,254.69,2013
Allopathic & Osteopathic Physicians|Otolaryngology|Plastic Surgery within the Head & Neck,97965.29,961,101.94,2013
Allopathic & Osteopathic Physicians|Otolaryngology|Sleep Medicine,4000.96,64,62.51,2013
Allopathic & Osteopathic Physicians|Pain Medicine|Interventional Pain Medicine,2184337.15,13870,157.49,2013
Allopathic & Osteopathic Physicians|Pain Medicine|Pain Medicine,1008984.1,6815,148.05,2013
Allopathic & Osteopathic Physicians|Pathology|Anatomic Pathology,927124.01,718,1291.26,2013
Allopathic & Osteopathic Physicians|Pathology|Anatomic Pathology & Clinical Pathology,1659449.58,3544,468.24,2013
Allopathic & Osteopathic Physicians|Pathology|Blood Banking & Transfusion Medicine,280222.65,356,787.14,2013
Allopathic & Osteopathic Physicians|Pathology|Chemical Pathology,5264.33,5,1052.87,2013
Allopathic & Osteopathic Physicians|Pathology|Clinical Pathology,191068.74,288,663.43,2013
Allopathic & Osteopathic Physicians|Pathology|Clinical Pathology/Laboratory Medicine,321405.53,489,657.27,2013
Allopathic & Osteopathic Physicians|Pathology|Cytopathology,39953.42,186,214.8,2013
Allopathic & Osteopathic Physicians|Pathology|Dermatopathology,19233.51,161,119.46,2013
Allopathic & Osteopathic Physicians|Pathology|Forensic Pathology,1338.79,32,41.84,2013
Allopathic & Osteopathic Physicians|Pathology|Hematology,222963.81,313,712.34,2013
Allopathic & Osteopathic Physicians|Pathology|Immunopathology,84161.47,71,1185.37,2013
Allopathic & Osteopathic Physicians|Pathology|Medical Microbiology,42562.97,41,1038.12,2013
Allopathic & Osteopathic Physicians|Pathology|Molecular Genetic Pathology,49578.27,43,1152.98,2013
Allopathic & Osteopathic Physicians|Pathology|Neuropathology,24736.23,67,369.2,2013
Allopathic & Osteopathic Physicians|Pathology|Pediatric Pathology,1353.92,13,104.15,2013
Allopathic & Osteopathic Physicians|Pediatrics,4785381.35,66167,72.32,2013
Allopathic & Osteopathic Physicians|Pediatrics|Adolescent Medicine,135030.98,2872,47.02,2013
Allopathic & Osteopathic Physicians|Pediatrics|Child Abuse Pediatrics,31399.75,5,6279.95,2013
Allopathic & Osteopathic Physicians|Pediatrics|Clinical & Laboratory Immunology,159146.31,65,2448.4,2013
Allopathic & Osteopathic Physicians|Pediatrics|Developmental  Behavioral Pediatrics,48062.03,385,124.84,2013
Allopathic & Osteopathic Physicians|Pediatrics|Hospice and Palliative Medicine,1523.62,41,37.16,2013
Allopathic & Osteopathic Physicians|Pediatrics|Medical Toxicology,83.96,6,13.99,2013
Allopathic & Osteopathic Physicians|Pediatrics|Neonatal-Perinatal Medicine,412741.76,1287,320.7,2013
Allopathic & Osteopathic Physicians|Pediatrics|Neurodevelopmental Disabilities,170649.63,816,209.13,2013
Allopathic & Osteopathic Physicians|Pediatrics|Pediatric Allergy/Immunology,427719.06,1341,318.96,2013
Allopathic & Osteopathic Physicians|Pediatrics|Pediatric Cardiology,723465.1,2062,350.86,2013
Allopathic & Osteopathic Physicians|Pediatrics|Pediatric Critical Care Medicine,114061.38,484,235.66,2013
Allopathic & Osteopathic Physicians|Pediatrics|Pediatric Emergency Medicine,32154.8,205,156.85,2013
Allopathic & Osteopathic Physicians|Pediatrics|Pediatric Endocrinology,1056556.85,5699,185.39,2013
Allopathic & Osteopathic Physicians|Pediatrics|Pediatric Gastroenterology,295539.61,1192,247.94,2013
Allopathic & Osteopathic Physicians|Pediatrics|Pediatric Hematology-Oncology,1526324.19,2622,582.12,2013
Allopathic & Osteopathic Physicians|Pediatrics|Pediatric Infectious Diseases,577594.11,1163,496.64,2013
Allopathic & Osteopathic Physicians|Pediatrics|Pediatric Nephrology,344882.55,863,399.63,2013
Allopathic & Osteopathic Physicians|Pediatrics|Pediatric Pulmonology,855066.72,3508,243.75,2013
Allopathic & Osteopathic Physicians|Pediatrics|Pediatric Rheumatology,171038.76,528,323.94,2013
Allopathic & Osteopathic Physicians|Pediatrics|Sleep Medicine,796.99,43,18.53,2013
Allopathic & Osteopathic Physicians|Pediatrics|Sports Medicine,2244.08,45,49.87,2013
Allopathic & Osteopathic Physicians|Phlebology,24115.4,77,313.19,2013
Allopathic & Osteopathic Physicians|Physical Medicine & Rehabilitation,3080736.45,24022,128.25,2013
Allopathic & Osteopathic Physicians|Physical Medicine & Rehabilitation|Hospice and Palliative Medicine,20276.27,148,137.0,2013
Allopathic & Osteopathic Physicians|Physical Medicine & Rehabilitation|Neuromuscular Medicine,5437.2,68,79.96,2013
Allopathic & Osteopathic Physicians|Physical Medicine & Rehabilitation|Pain Medicine,834506.47,7658,108.97,2013
Allopathic & Osteopathic Physicians|Physical Medicine & Rehabilitation|Pediatric Rehabilitation Medicine,38794.94,215,180.44,2013
Allopathic & Osteopathic Physicians|Physical Medicine & Rehabilitation|Spinal Cord Injury Medicine,67999.51,341,199.41,2013
Allopathic & Osteopathic Physicians|Physical Medicine & Rehabilitation|Sports Medicine,63075.08,541,116.59,2013
Allopathic & Osteopathic Physicians|Plastic Surgery,7141278.53,15508,460.49,2013
Allopathic & Osteopathic Physicians|Plastic Surgery|Plastic Surgery Within the Head and Neck,6430581.17,633,10158.9,2013
Allopathic & Osteopathic Physicians|Plastic Surgery|Surgery of the Hand,131619.49,687,191.59,2013
Allopathic & Osteopathic Physicians|Preventive Medicine|Aerospace Medicine,12298.73,181,67.95,2013
Allopathic & Osteopathic Physicians|Preventive Medicine|Medical Toxicology,8360.64,11,760.06,2013
Allopathic & Osteopathic Physicians|Preventive Medicine|Occupational Medicine,234068.37,969,241.56,2013
Allopathic & Osteopathic Physicians|Preventive Medicine|Preventive Medicine/Occupational Environmental Medicine,88253.8,256,344.74,2013
Allopathic & Osteopathic Physicians|Preventive Medicine|Public Health & General Preventive Medicine,980513.5,1042,940.99,2013
Allopathic & Osteopathic Physicians|Preventive Medicine|Sports Medicine,6144.7,42,146.3,2013
Allopathic & Osteopathic Physicians|Preventive Medicine|Undersea and Hyperbaric Medicine,51872.18,345,150.35,2013
Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Addiction Medicine,313911.37,1669,188.08,2013
Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Addiction Psychiatry,1111979.08,3051,364.46,2013
Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Behavioral Neurology & Neuropsychiatry,5406.97,161,33.58,2013
Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Child & Adolescent Psychiatry,1127485.9,12195,92.45,2013
Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Clinical Neurophysiology,461253.94,3142,146.8,2013
Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Diagnostic Neuroimaging,14420.58,69,208.99,2013
Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Forensic Psychiatry,187444.85,1136,165.0,2013
Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Geriatric Psychiatry,301210.71,1969,152.98,2013
Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Hospice and Palliative Medicine,117.68,6,19.61,2013
Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Neurodevelopmental Disabilities,10959.26,61,179.66,2013
Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Neurology,28028974.57,157608,177.84,2013
Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Neurology with Special Qualifications in Child Neurology,860706.71,5495,156.63,2013
Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Neuromuscular Medicine,56558.14,497,113.8,2013
Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Obesity Medicine,141.28,5,28.26,2013
Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Pain Medicine,177317.87,919,192.95,2013
Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Psychiatry,25580054.89,169204,151.18,2013
Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Psychosomatic Medicine,76049.62,558,136.29,2013
Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Sleep Medicine,142161.37,1453,97.84,2013
Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Sports Medicine,255.44,14,18.25,2013
Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Vascular Neurology,99749.29,958,104.12,2013
Allopathic & Osteopathic Physicians|Radiology|Body Imaging,173386.6,566,306.34,2013
Allopathic & Osteopathic Physicians|Radiology|Diagnostic Neuroimaging,5765.22,62,92.99,2013
Allopathic & Osteopathic Physicians|Radiology|Diagnostic Radiology,7441029.81,20920,355.69,2013
Allopathic & Osteopathic Physicians|Radiology|Diagnostic Ultrasound,28963.81,67,432.3,2013
Allopathic & Osteopathic Physicians|Radiology|Neuroradiology,835236.4,1658,503.76,2013
Allopathic & Osteopathic Physicians|Radiology|Nuclear Radiology,170101.25,306,555.89,2013
Allopathic & Osteopathic Physicians|Radiology|Pediatric Radiology,62929.18,217,290.0,2013
Allopathic & Osteopathic Physicians|Radiology|Radiation Oncology,1936999.53,8069,240.05,2013
Allopathic & Osteopathic Physicians|Radiology|Radiological Physics,546.41,9,60.71,2013
Allopathic & Osteopathic Physicians|Radiology|Therapeutic Radiology,64761.33,235,275.58,2013
Allopathic & Osteopathic Physicians|Radiology|Vascular & Interventional Radiology,2945841.12,6772,435.0,2013
Allopathic & Osteopathic Physicians|Surgery,18157615.18,72157,251.64,2013
Allopathic & Osteopathic Physicians|Surgery|Hospice and Palliative Medicine,641.58,5,128.32,2013
Allopathic & Osteopathic Physicians|Surgery|Pediatric Surgery,392698.57,492,798.17,2013
Allopathic & Osteopathic Physicians|Surgery|Plastic and Reconstructive Surgery,2002409.7,5760,347.64,2013
Allopathic & Osteopathic Physicians|Surgery|Surgery of the Hand,472540.48,660,715.97,2013
Allopathic & Osteopathic Physicians|Surgery|Surgical Critical Care,2555106.25,1299,1966.98,2013
Allopathic & Osteopathic Physicians|Surgery|Surgical Oncology,886848.0,2114,419.51,2013
Allopathic & Osteopathic Physicians|Surgery|Trauma Surgery,188258.36,1143,164.71,2013
Allopathic & Osteopathic Physicians|Surgery|Vascular Surgery,4932041.46,24396,202.17,2013
Allopathic & Osteopathic Physicians|Thoracic Surgery (Cardiothoracic Vascular Surgery),7671983.19,23828,321.97,2013
Allopathic & Osteopathic Physicians|Transplant Surgery,663476.08,1441,460.43,2013
Allopathic & Osteopathic Physicians|Urology,12960235.38,97952,132.31,2013
Allopathic & Osteopathic Physicians|Urology|Female Pelvic Medicine and Reconstructive Surgery,54004.46,132,409.12,2013
Allopathic & Osteopathic Physicians|Urology|Pediatric Urology,48304.87,482,100.22,2013
Ambulatory Health Care Facilities|Clinic/Center,99.99,1,99.99,2013
Ambulatory Health Care Facilities|Clinic/Center|Adolescent and Children Mental Health,10.03,1,10.03,2013
Ambulatory Health Care Facilities|Clinic/Center|Adult Day Care,5.76,2,2.88,2013
Ambulatory Health Care Facilities|Clinic/Center|Adult Mental Health,6735.79,14,481.13,2013
Ambulatory Health Care Facilities|Clinic/Center|Ambulatory Family Planning Facility,11481.74,167,68.75,2013
Ambulatory Health Care Facilities|Clinic/Center|Ambulatory Surgical,856.72,22,38.94,2013
Ambulatory Health Care Facilities|Clinic/Center|Community Health,21280.84,42,506.69,2013
Ambulatory Health Care Facilities|Clinic/Center|Dental,384.93,6,64.15,2013
Ambulatory Health Care Facilities|Clinic/Center|Emergency Care,343.94,5,68.79,2013
Ambulatory Health Care Facilities|Clinic/Center|End-Stage Renal Disease (ESRD) Treatment,13.07,1,13.07,2013
"Ambulatory Health Care Facilities|Clinic/Center|Family Planning, Non-Surgical",138.69,7,19.81,2013
Ambulatory Health Care Facilities|Clinic/Center|Genetics,245.98,3,81.99,2013
Ambulatory Health Care Facilities|Clinic/Center|Health Service,147.75,9,16.42,2013
Ambulatory Health Care Facilities|Clinic/Center|Infusion Therapy,2025.44,36,56.26,2013
Ambulatory Health Care Facilities|Clinic/Center|Magnetic Resonance Imaging (MRI),32.38,2,16.19,2013
Ambulatory Health Care Facilities|Clinic/Center|Medical Specialty,811.11,20,40.56,2013
Ambulatory Health Care Facilities|Clinic/Center|Multi-Specialty,680.48,51,13.34,2013
Ambulatory Health Care Facilities|Clinic/Center|Occupational Medicine,25.77,1,25.77,2013
Ambulatory Health Care Facilities|Clinic/Center|Oncology,3794.74,5,758.95,2013
"Ambulatory Health Care Facilities|Clinic/Center|Oncology, Radiation",765.88,14,54.71,2013
Ambulatory Health Care Facilities|Clinic/Center|Oral and Maxillofacial Surgery,436.87,32,13.65,2013
Ambulatory Health Care Facilities|Clinic/Center|Pain,236.79,5,47.36,2013
Ambulatory Health Care Facilities|Clinic/Center|Physical Therapy,18.14,6,3.02,2013
Ambulatory Health Care Facilities|Clinic/Center|Podiatric,16.05,1,16.05,2013
Ambulatory Health Care Facilities|Clinic/Center|Primary Care,15.51,1,15.51,2013
Ambulatory Health Care Facilities|Clinic/Center|Prison Health,28322.13,650,43.57,2013
"Ambulatory Health Care Facilities|Clinic/Center|Public Health, State or Local",10151.2,94,107.99,2013
Ambulatory Health Care Facilities|Clinic/Center|Radiology,824.04,20,41.2,2013
"Ambulatory Health Care Facilities|Clinic/Center|Radiology, Mammography",7973.02,37,215.49,2013
"Ambulatory Health Care Facilities|Clinic/Center|Radiology, Mobile Mammography",478.33,10,47.83,2013
Ambulatory Health Care Facilities|Clinic/Center|Research,277.02,2,138.51,2013
Ambulatory Health Care Facilities|Clinic/Center|Sleep Disorder Diagnostic,2488.57,3,829.52,2013
Ambulatory Health Care Facilities|Clinic/Center|Student Health,1288.97,43,29.98,2013
Ambulatory Health Care Facilities|Clinic/Center|Urgent Care,79.83,6,13.3,2013
Ambulatory Health Care Facilities|Clinic/Center|VA,578.93,22,26.32,2013
Behavioral Health & Social Service Providers|Behavioral Analyst,408.59,19,21.5,2013
Behavioral Health & Social Service Providers|Clinical Neuropsychologist,13744.89,113,121.64,2013
Behavioral Health & Social Service Providers|Counselor,3382.77,26,130.11,2013
Behavioral Health & Social Service Providers|Counselor|Addiction (Substance Use Disorder),20076.43,75,267.69,2013
Behavioral Health & Social Service Providers|Counselor|Mental Health,55986.15,483,115.91,2013
Behavioral Health & Social Service Providers|Counselor|Pastoral,54.82,3,18.27,2013
Behavioral Health & Social Service Providers|Counselor|Professional,12016.77,94,127.84,2013
Behavioral Health & Social Service Providers|Marriage & Family Therapist,17084.55,48,355.93,2013
Behavioral Health & Social Service Providers|Psychoanalyst,1607.6,42,38.28,2013
Behavioral Health & Social Service Providers|Psychologist,68410.26,535,127.87,2013
Behavioral Health & Social Service Providers|Psychologist|Addiction (Substance Use Disorder),381.41,7,54.49,2013
Behavioral Health & Social Service Providers|Psychologist|Adult Development & Aging,2423.53,29,83.57,2013
Behavioral Health & Social Service Providers|Psychologist|Clinical,5958.8,95,62.72,2013
Behavioral Health & Social Service Providers|Psychologist|Clinical Child & Adolescent,774.27,26,29.78,2013
Behavioral Health & Social Service Providers|Psychologist|Cognitive & Behavioral,19696.29,139,141.7,2013
Behavioral Health & Social Service Providers|Psychologist|Family,766.31,14,54.74,2013
Behavioral Health & Social Service Providers|Psychologist|Forensic,22.9,2,11.45,2013
Behavioral Health & Social Service Providers|Psychologist|Health,14.25,1,14.25,2013
Behavioral Health & Social Service Providers|Psychologist|Prescribing (Medical),4551.57,109,41.76,2013
Behavioral Health & Social Service Providers|Psychologist|Psychoanalysis,200.84,7,28.69,2013
Behavioral Health & Social Service Providers|Psychologist|Rehabilitation,9.85,2,4.93,2013
Behavioral Health & Social Service Providers|Social Worker,639.19,23,27.79,2013
Behavioral Health & Social Service Providers|Social Worker|Clinical,2162.53,49,44.13,2013
Chiropractic Providers|Chiropractor,79349.97,1175,67.53,2013
Chiropractic Providers|Chiropractor|Independent Medical Examiner,65.91,1,65.91,2013
Chiropractic Providers|Chiropractor|Internist,486.25,23,21.14,2013
Chiropractic Providers|Chiropractor|Neurology,89810.48,106,847.27,2013
Chiropractic Providers|Chiropractor|Nutrition,560.34,17,32.96,2013
Chiropractic Providers|Chiropractor|Occupational Health,404.13,8,50.52,2013
Chiropractic Providers|Chiropractor|Orthopedic,5635.32,63,89.45,2013
Chiropractic Providers|Chiropractor|Pediatric Chiropractor,32698.12,486,67.28,2013
Chiropractic Providers|Chiropractor|Radiology,43603.25,159,274.23,2013
Chiropractic Providers|Chiropractor|Rehabilitation,4743.89,26,182.46,2013
Chiropractic Providers|Chiropractor|Sports Physician,1728.51,40,43.21,2013
Chiropractic Providers|Chiropractor|Thermography,16.84,1,16.84,2013
Dental Providers|Dental Assistant,31.23,2,15.62,2013
Dental Providers|Dental Hygienist,100.6,1,100.6,2013
Dental Providers|Dental Laboratory Technician,64.69,2,32.34,2013
Dental Providers|Dentist,6525698.51,24498,266.38,2013
Dental Providers|Dentist|Dental Public Health,16299.93,159,102.52,2013
Dental Providers|Dentist|Dentist Anesthesiologist,9248.25,25,369.93,2013
Dental Providers|Dentist|Endodontics,6779673.06,3251,2085.41,2013
Dental Providers|Dentist|General Practice,7766644.25,44543,174.36,2013
Dental Providers|Dentist|Oral and Maxillofacial Pathology,73051.95,436,167.55,2013
